8,451;63,892;8,501;63,367;Medbus;9,1;50
8,441;59,595;8,451;62,872;Klimalogg;9,5;53
8,39;59,32;8,41;62,75;;;
8,41;58,942;8,38;62,573;;;
8,39;58,789;8,36;62,622;;;
8,39;58,691;8,36;62,665;;;
8,38;58,636;8,34;62,598;;;
8,38;58,636;8,33;62,561;;;
8,38;58,588;8,3;62,531;;;
8,36;58,514;8,3;62,482;;;
8,38;58,435;8,289;62,469;;;
8,36;58,386;8,269;62,439;;;
8,36;58,234;8,259;62,415;;;
